candidate,county,party,percentage,popular_vote,state,summary_level
 B. Carson,Fayette County,REPUBLICAN,14.4%,144,iowa,county
 R. Paul,Fayette County,REPUBLICAN,2.7%,27,iowa,county
 J. Bush,Fayette County,REPUBLICAN,1.8%,18,iowa,county
 C. Fiorina,Fayette County,REPUBLICAN,1.8%,18,iowa,county
 M. Huckabee,Fayette County,REPUBLICAN,1.7%,17,iowa,county
 C. Christie,Fayette County,REPUBLICAN,0.6%,6,iowa,county
 J. Kasich,Fayette County,REPUBLICAN,0.6%,6,iowa,county
 R. Santorum,Fayette County,REPUBLICAN,0.3%,3,iowa,county
 J. Gilmore,Fayette County,REPUBLICAN,0.0%,0,iowa,county
 Other,Fayette County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Floyd County,DEMOCRAT,56.7%,453,iowa,county
 B. Sanders,Floyd County,DEMOCRAT,43.3%,346,iowa,county
 M. O'Malley,Floyd County,DEMOCRAT,0.0%,0,iowa,county
 Other,Floyd County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Floyd County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Floyd County,REPUBLICAN,40.1%,305,iowa,county
 D. Trump,Floyd County,REPUBLICAN,26.3%,200,iowa,county
 M. Rubio,Floyd County,REPUBLICAN,13.8%,105,iowa,county
 B. Carson,Floyd County,REPUBLICAN,10.9%,83,iowa,county
 J. Bush,Floyd County,REPUBLICAN,3.0%,23,iowa,county
 R. Paul,Floyd County,REPUBLICAN,1.3%,10,iowa,county
 C. Christie,Floyd County,REPUBLICAN,1.2%,9,iowa,county
 J. Kasich,Floyd County,REPUBLICAN,1.2%,9,iowa,county
 C. Fiorina,Floyd County,REPUBLICAN,1.1%,8,iowa,county
 M. Huckabee,Floyd County,REPUBLICAN,1.1%,8,iowa,county
 J. Gilmore,Floyd County,REPUBLICAN,0.0%,0,iowa,county
 Other,Floyd County,REPUBLICAN,0.0%,0,iowa,county
 R. Santorum,Floyd County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Franklin County,DEMOCRAT,56.8%,226,iowa,county
 B. Sanders,Franklin County,DEMOCRAT,42.2%,168,iowa,county
 M. O'Malley,Franklin County,DEMOCRAT,1.0%,4,iowa,county
 Other,Franklin County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Franklin County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Franklin County,REPUBLICAN,35.8%,225,iowa,county
 D. Trump,Franklin County,REPUBLICAN,25.3%,159,iowa,county
 M. Rubio,Franklin County,REPUBLICAN,16.7%,105,iowa,county
 B. Carson,Franklin County,REPUBLICAN,9.9%,62,iowa,county
 M. Huckabee,Franklin County,REPUBLICAN,3.7%,23,iowa,county
 R. Paul,Franklin County,REPUBLICAN,3.7%,23,iowa,county
 J. Bush,Franklin County,REPUBLICAN,2.9%,18,iowa,county
 C. Fiorina,Franklin County,REPUBLICAN,0.8%,5,iowa,county
 J. Kasich,Franklin County,REPUBLICAN,0.6%,4,iowa,county
 R. Santorum,Franklin County,REPUBLICAN,0.5%,3,iowa,county
 C. Christie,Franklin County,REPUBLICAN,0.2%,1,iowa,county
 J. Gilmore,Franklin County,REPUBLICAN,0.0%,0,iowa,county
 Other,Franklin County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Fremont County,DEMOCRAT,50.0%,135,iowa,county
 H. Clinton,Fremont County,DEMOCRAT,44.4%,120,iowa,county
 M. O'Malley,Fremont County,DEMOCRAT,5.6%,15,iowa,county
 Other,Fremont County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Fremont County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Fremont County,REPUBLICAN,42.7%,182,iowa,county
 T. Cruz,Fremont County,REPUBLICAN,20.4%,87,iowa,county
 M. Rubio,Fremont County,REPUBLICAN,18.1%,77,iowa,county
 B. Carson,Fremont County,REPUBLICAN,9.4%,40,iowa,county
 R. Paul,Fremont County,REPUBLICAN,2.6%,11,iowa,county
 J. Bush,Fremont County,REPUBLICAN,2.3%,10,iowa,county
 J. Kasich,Fremont County,REPUBLICAN,1.4%,6,iowa,county
 C. Christie,Fremont County,REPUBLICAN,1.2%,5,iowa,county
 R. Santorum,Fremont County,REPUBLICAN,1.2%,5,iowa,county
 M. Huckabee,Fremont County,REPUBLICAN,0.5%,2,iowa,county
 Other,Fremont County,REPUBLICAN,0.2%,1,iowa,county
 C. Fiorina,Fremont County,REPUBLICAN,0.0%,0,iowa,county
 J. Gilmore,Fremont County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Greene County,DEMOCRAT,53.9%,215,iowa,county
 B. Sanders,Greene County,DEMOCRAT,46.1%,184,iowa,county
 M. O'Malley,Greene County,DEMOCRAT,0.0%,0,iowa,county
 Other,Greene County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Greene County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Greene County,REPUBLICAN,30.0%,164,iowa,county
 T. Cruz,Greene County,REPUBLICAN,29.7%,162,iowa,county
 M. Rubio,Greene County,REPUBLICAN,14.1%,77,iowa,county
 B. Carson,Greene County,REPUBLICAN,11.4%,62,iowa,county
 J. Bush,Greene County,REPUBLICAN,4.6%,25,iowa,county
 M. Huckabee,Greene County,REPUBLICAN,2.6%,14,iowa,county
 R. Paul,Greene County,REPUBLICAN,2.6%,14,iowa,county
 C. Christie,Greene County,REPUBLICAN,2.4%,13,iowa,county
 R. Santorum,Greene County,REPUBLICAN,1.3%,7,iowa,county
 J. Kasich,Greene County,REPUBLICAN,1.1%,6,iowa,county
 C. Fiorina,Greene County,REPUBLICAN,0.4%,2,iowa,county
 J. Gilmore,Greene County,REPUBLICAN,0.0%,0,iowa,county
 Other,Greene County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Grundy County,DEMOCRAT,51.8%,206,iowa,county
 H. Clinton,Grundy County,DEMOCRAT,46.7%,186,iowa,county
 M. O'Malley,Grundy County,DEMOCRAT,1.5%,6,iowa,county
 Other,Grundy County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Grundy County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Grundy County,REPUBLICAN,28.8%,272,iowa,county
 M. Rubio,Grundy County,REPUBLICAN,27.6%,261,iowa,county
 D. Trump,Grundy County,REPUBLICAN,20.9%,198,iowa,county
 B. Carson,Grundy County,REPUBLICAN,7.7%,73,iowa,county
 M. Huckabee,Grundy County,REPUBLICAN,5.3%,50,iowa,county
 R. Paul,Grundy County,REPUBLICAN,3.4%,32,iowa,county
 J. Bush,Grundy County,REPUBLICAN,2.7%,26,iowa,county
 C. Christie,Grundy County,REPUBLICAN,1.3%,12,iowa,county
 C. Fiorina,Grundy County,REPUBLICAN,1.1%,10,iowa,county
 R. Santorum,Grundy County,REPUBLICAN,0.8%,8,iowa,county
 J. Kasich,Grundy County,REPUBLICAN,0.4%,4,iowa,county
 J. Gilmore,Grundy County,REPUBLICAN,0.0%,0,iowa,county
 Other,Grundy County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Guthrie County,DEMOCRAT,55.0%,220,iowa,county
 B. Sanders,Guthrie County,DEMOCRAT,45.0%,180,iowa,county
 M. O'Malley,Guthrie County,DEMOCRAT,0.0%,0,iowa,county
 Other,Guthrie County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Guthrie County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Guthrie County,REPUBLICAN,28.9%,218,iowa,county
 D. Trump,Guthrie County,REPUBLICAN,27.6%,208,iowa,county
 M. Rubio,Guthrie County,REPUBLICAN,15.6%,118,iowa,county
 B. Carson,Guthrie County,REPUBLICAN,14.2%,107,iowa,county
 R. Paul,Guthrie County,REPUBLICAN,3.7%,28,iowa,county
 M. Huckabee,Guthrie County,REPUBLICAN,3.1%,23,iowa,county
 C. Fiorina,Guthrie County,REPUBLICAN,2.4%,18,iowa,county
 J. Bush,Guthrie County,REPUBLICAN,2.1%,16,iowa,county
 C. Christie,Guthrie County,REPUBLICAN,1.2%,9,iowa,county
 R. Santorum,Guthrie County,REPUBLICAN,0.9%,7,iowa,county
 J. Kasich,Guthrie County,REPUBLICAN,0.3%,2,iowa,county
 J. Gilmore,Guthrie County,REPUBLICAN,0.0%,0,iowa,county
 Other,Guthrie County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Hamilton County,DEMOCRAT,58.9%,353,iowa,county
 B. Sanders,Hamilton County,DEMOCRAT,41.1%,246,iowa,county
 M. O'Malley,Hamilton County,DEMOCRAT,0.0%,0,iowa,county
 Other,Hamilton County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Hamilton County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Hamilton County,REPUBLICAN,28.9%,277,iowa,county
 D. Trump,Hamilton County,REPUBLICAN,28.1%,269,iowa,county
 M. Rubio,Hamilton County,REPUBLICAN,16.6%,159,iowa,county
 B. Carson,Hamilton County,REPUBLICAN,9.3%,89,iowa,county
 R. Paul,Hamilton County,REPUBLICAN,5.0%,48,iowa,county
 M. Huckabee,Hamilton County,REPUBLICAN,2.6%,25,iowa,county
 C. Christie,Hamilton County,REPUBLICAN,2.2%,21,iowa,county
 J. Kasich,Hamilton County,REPUBLICAN,2.1%,20,iowa,county
 R. Santorum,Hamilton County,REPUBLICAN,2.1%,20,iowa,county
 C. Fiorina,Hamilton County,REPUBLICAN,1.5%,14,iowa,county
 J. Bush,Hamilton County,REPUBLICAN,1.4%,13,iowa,county
 Other,Hamilton County,REPUBLICAN,0.2%,2,iowa,county
 J. Gilmore,Hamilton County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Hancock County,DEMOCRAT,61.2%,240,iowa,county
 B. Sanders,Hancock County,DEMOCRAT,38.8%,152,iowa,county
 M. O'Malley,Hancock County,DEMOCRAT,0.0%,0,iowa,county
 Other,Hancock County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Hancock County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Hancock County,REPUBLICAN,45.3%,385,iowa,county
 D. Trump,Hancock County,REPUBLICAN,18.8%,160,iowa,county
 M. Rubio,Hancock County,REPUBLICAN,15.5%,132,iowa,county
 B. Carson,Hancock County,REPUBLICAN,8.4%,71,iowa,county
 J. Bush,Hancock County,REPUBLICAN,2.6%,22,iowa,county
 R. Paul,Hancock County,REPUBLICAN,2.5%,21,iowa,county
 C. Fiorina,Hancock County,REPUBLICAN,2.2%,19,iowa,county
 M. Huckabee,Hancock County,REPUBLICAN,1.9%,16,iowa,county
 R. Santorum,Hancock County,REPUBLICAN,1.4%,12,iowa,county
 J. Kasich,Hancock County,REPUBLICAN,0.7%,6,iowa,county
 C. Christie,Hancock County,REPUBLICAN,0.6%,5,iowa,county
 J. Gilmore,Hancock County,REPUBLICAN,0.0%,0,iowa,county
 Other,Hancock County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Hardin County,DEMOCRAT,57.7%,403,iowa,county
 B. Sanders,Hardin County,DEMOCRAT,42.3%,296,iowa,county
 M. O'Malley,Hardin County,DEMOCRAT,0.0%,0,iowa,county
 Other,Hardin County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Hardin County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Hardin County,REPUBLICAN,32.8%,417,iowa,county
 D. Trump,Hardin County,REPUBLICAN,23.2%,295,iowa,county
 M. Rubio,Hardin County,REPUBLICAN,17.7%,225,iowa,county
 B. Carson,Hardin County,REPUBLICAN,10.9%,138,iowa,county
 R. Paul,Hardin County,REPUBLICAN,3.5%,45,iowa,county
 C. Christie,Hardin County,REPUBLICAN,2.6%,33,iowa,county
 M. Huckabee,Hardin County,REPUBLICAN,2.4%,31,iowa,county
 R. Santorum,Hardin County,REPUBLICAN,2.3%,29,iowa,county
 C. Fiorina,Hardin County,REPUBLICAN,2.0%,25,iowa,county
 J. Bush,Hardin County,REPUBLICAN,1.5%,19,iowa,county
 J. Kasich,Hardin County,REPUBLICAN,0.9%,12,iowa,county
 J. Gilmore,Hardin County,REPUBLICAN,0.1%,1,iowa,county
 Other,Hardin County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Harrison County,DEMOCRAT,54.7%,273,iowa,county
 H. Clinton,Harrison County,DEMOCRAT,45.3%,226,iowa,county
 M. O'Malley,Harrison County,DEMOCRAT,0.0%,0,iowa,county
 Other,Harrison County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Harrison County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Harrison County,REPUBLICAN,30.9%,315,iowa,county
 T. Cruz,Harrison County,REPUBLICAN,27.7%,282,iowa,county
 B. Carson,Harrison County,REPUBLICAN,21.7%,221,iowa,county
 M. Rubio,Harrison County,REPUBLICAN,11.0%,112,iowa,county
 C. Fiorina,Harrison County,REPUBLICAN,2.4%,24,iowa,county
 C. Christie,Harrison County,REPUBLICAN,1.7%,17,iowa,county
 R. Paul,Harrison County,REPUBLICAN,1.7%,17,iowa,county
 M. Huckabee,Harrison County,REPUBLICAN,1.0%,10,iowa,county
 J. Kasich,Harrison County,REPUBLICAN,1.0%,10,iowa,county
 R. Santorum,Harrison County,REPUBLICAN,0.6%,6,iowa,county
 J. Bush,Harrison County,REPUBLICAN,0.5%,5,iowa,county
 J. Gilmore,Harrison County,REPUBLICAN,0.0%,0,iowa,county
 Other,Harrison County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Henry County,DEMOCRAT,50.0%,350,iowa,county
 B. Sanders,Henry County,DEMOCRAT,50.0%,350,iowa,county
 M. O'Malley,Henry County,DEMOCRAT,0.0%,0,iowa,county
 Other,Henry County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Henry County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Henry County,REPUBLICAN,31.3%,379,iowa,county
 D. Trump,Henry County,REPUBLICAN,22.5%,273,iowa,county
 M. Rubio,Henry County,REPUBLICAN,18.8%,228,iowa,county
 B. Carson,Henry County,REPUBLICAN,15.6%,189,iowa,county
 M. Huckabee,Henry County,REPUBLICAN,2.7%,33,iowa,county
 J. Bush,Henry County,REPUBLICAN,2.6%,31,iowa,county
 R. Paul,Henry County,REPUBLICAN,2.5%,30,iowa,county
 C. Fiorina,Henry County,REPUBLICAN,1.5%,18,iowa,county
 J. Kasich,Henry County,REPUBLICAN,1.0%,12,iowa,county
 R. Santorum,Henry County,REPUBLICAN,1.0%,12,iowa,county
 C. Christie,Henry County,REPUBLICAN,0.6%,7,iowa,county
 J. Gilmore,Henry County,REPUBLICAN,0.0%,0,iowa,county
 Other,Henry County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Howard County,DEMOCRAT,53.9%,215,iowa,county
 H. Clinton,Howard County,DEMOCRAT,46.1%,184,iowa,county
 M. O'Malley,Howard County,DEMOCRAT,0.0%,0,iowa,county
 Other,Howard County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Howard County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Howard County,REPUBLICAN,30.5%,112,iowa,county
 T. Cruz,Howard County,REPUBLICAN,28.9%,106,iowa,county
 M. Rubio,Howard County,REPUBLICAN,24.3%,89,iowa,county
 B. Carson,Howard County,REPUBLICAN,7.1%,26,iowa,county
 J. Bush,Howard County,REPUBLICAN,5.2%,19,iowa,county
 M. Huckabee,Howard County,REPUBLICAN,1.4%,5,iowa,county
 R. Paul,Howard County,REPUBLICAN,1.4%,5,iowa,county
 C. Fiorina,Howard County,REPUBLICAN,0.8%,3,iowa,county
 C. Christie,Howard County,REPUBLICAN,0.5%,2,iowa,county
 J. Gilmore,Howard County,REPUBLICAN,0.0%,0,iowa,county
 J. Kasich,Howard County,REPUBLICAN,0.0%,0,iowa,county
 Other,Howard County,REPUBLICAN,0.0%,0,iowa,county
 R. Santorum,Howard County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Humboldt County,DEMOCRAT,55.5%,166,iowa,county
 B. Sanders,Humboldt County,DEMOCRAT,44.5%,133,iowa,county
 M. O'Malley,Humboldt County,DEMOCRAT,0.0%,0,iowa,county
 Other,Humboldt County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Humboldt County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Humboldt County,REPUBLICAN,33.7%,204,iowa,county
 T. Cruz,Humboldt County,REPUBLICAN,27.8%,168,iowa,county
 M. Rubio,Humboldt County,REPUBLICAN,18.3%,111,iowa,county
 B. Carson,Humboldt County,REPUBLICAN,7.9%,48,iowa,county
 M. Huckabee,Humboldt County,REPUBLICAN,2.8%,17,iowa,county
 R. Paul,Humboldt County,REPUBLICAN,2.6%,16,iowa,county
 J. Bush,Humboldt County,REPUBLICAN,2.3%,14,iowa,county
 C. Christie,Humboldt County,REPUBLICAN,1.5%,9,iowa,county
 R. Santorum,Humboldt County,REPUBLICAN,1.5%,9,iowa,county
 C. Fiorina,Humboldt County,REPUBLICAN,1.0%,6,iowa,county
 J. Kasich,Humboldt County,REPUBLICAN,0.5%,3,iowa,county
 J. Gilmore,Humboldt County,REPUBLICAN,0.0%,0,iowa,county
 Other,Humboldt County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Ida County,DEMOCRAT,53.3%,106,iowa,county
 B. Sanders,Ida County,DEMOCRAT,46.7%,93,iowa,county
 M. O'Malley,Ida County,DEMOCRAT,0.0%,0,iowa,county
 Other,Ida County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Ida County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Ida County,REPUBLICAN,25.8%,136,iowa,county
 T. Cruz,Ida County,REPUBLICAN,25.6%,135,iowa,county
 M. Rubio,Ida County,REPUBLICAN,25.6%,135,iowa,county
 B. Carson,Ida County,REPUBLICAN,8.2%,43,iowa,county
 C. Fiorina,Ida County,REPUBLICAN,6.1%,32,iowa,county
 R. Santorum,Ida County,REPUBLICAN,2.7%,14,iowa,county
 J. Bush,Ida County,REPUBLICAN,1.5%,8,iowa,county
 M. Huckabee,Ida County,REPUBLICAN,1.5%,8,iowa,county
 R. Paul,Ida County,REPUBLICAN,1.3%,7,iowa,county
 C. Christie,Ida County,REPUBLICAN,0.8%,4,iowa,county
 J. Kasich,Ida County,REPUBLICAN,0.6%,3,iowa,county
 Other,Ida County,REPUBLICAN,0.4%,2,iowa,county
 J. Gilmore,Ida County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Iowa County,DEMOCRAT,51.0%,357,iowa,county
 B. Sanders,Iowa County,DEMOCRAT,49.0%,343,iowa,county
 M. O'Malley,Iowa County,DEMOCRAT,0.0%,0,iowa,county
 Other,Iowa County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Iowa County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Iowa County,REPUBLICAN,34.2%,353,iowa,county
 D. Trump,Iowa County,REPUBLICAN,24.1%,249,iowa,county
 M. Rubio,Iowa County,REPUBLICAN,15.8%,163,iowa,county
 B. Carson,Iowa County,REPUBLICAN,10.2%,105,iowa,county
 R. Paul,Iowa County,REPUBLICAN,5.4%,56,iowa,county
 M. Huckabee,Iowa County,REPUBLICAN,3.2%,33,iowa,county
 C. Fiorina,Iowa County,REPUBLICAN,2.4%,25,iowa,county
 J. Kasich,Iowa County,REPUBLICAN,1.4%,14,iowa,county
 C. Christie,Iowa County,REPUBLICAN,1.2%,12,iowa,county
 R. Santorum,Iowa County,REPUBLICAN,1.2%,12,iowa,county
 J. Bush,Iowa County,REPUBLICAN,1.1%,11,iowa,county
 J. Gilmore,Iowa County,REPUBLICAN,0.0%,0,iowa,county
 Other,Iowa County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Jackson County,DEMOCRAT,50.0%,450,iowa,county
 B. Sanders,Jackson County,DEMOCRAT,46.0%,414,iowa,county
 M. O'Malley,Jackson County,DEMOCRAT,4.0%,36,iowa,county
 Other,Jackson County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Jackson County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Jackson County,REPUBLICAN,32.9%,306,iowa,county
 T. Cruz,Jackson County,REPUBLICAN,28.5%,265,iowa,county
 M. Rubio,Jackson County,REPUBLICAN,18.2%,169,iowa,county
 B. Carson,Jackson County,REPUBLICAN,6.9%,64,iowa,county
 R. Paul,Jackson County,REPUBLICAN,3.7%,34,iowa,county
 J. Bush,Jackson County,REPUBLICAN,2.8%,26,iowa,county
 C. Fiorina,Jackson County,REPUBLICAN,2.3%,21,iowa,county
 C. Christie,Jackson County,REPUBLICAN,1.9%,18,iowa,county
 J. Kasich,Jackson County,REPUBLICAN,1.2%,11,iowa,county
 M. Huckabee,Jackson County,REPUBLICAN,1.0%,9,iowa,county
 R. Santorum,Jackson County,REPUBLICAN,0.5%,5,iowa,county
 J. Gilmore,Jackson County,REPUBLICAN,0.1%,1,iowa,county
 Other,Jackson County,REPUBLICAN,0.1%,1,iowa,county
 H. Clinton,Jasper County,DEMOCRAT,51.5%,927,iowa,county
 B. Sanders,Jasper County,DEMOCRAT,45.0%,810,iowa,county
 M. O'Malley,Jasper County,DEMOCRAT,3.5%,63,iowa,county
 Other,Jasper County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Jasper County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Jasper County,REPUBLICAN,34.9%,812,iowa,county
 D. Trump,Jasper County,REPUBLICAN,25.1%,583,iowa,county
 M. Rubio,Jasper County,REPUBLICAN,17.9%,417,iowa,county
 B. Carson,Jasper County,REPUBLICAN,8.9%,207,iowa,county
 R. Paul,Jasper County,REPUBLICAN,4.3%,100,iowa,county
 M. Huckabee,Jasper County,REPUBLICAN,3.1%,72,iowa,county
 J. Bush,Jasper County,REPUBLICAN,2.0%,46,iowa,county
 C. Fiorina,Jasper County,REPUBLICAN,1.3%,31,iowa,county
 C. Christie,Jasper County,REPUBLICAN,1.3%,30,iowa,county
 J. Kasich,Jasper County,REPUBLICAN,0.6%,13,iowa,county
 R. Santorum,Jasper County,REPUBLICAN,0.5%,12,iowa,county
 Other,Jasper County,REPUBLICAN,0.0%,1,iowa,county
 J. Gilmore,Jasper County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Jefferson County,DEMOCRAT,72.7%,654,iowa,county
 H. Clinton,Jefferson County,DEMOCRAT,27.3%,245,iowa,county
 M. O'Malley,Jefferson County,DEMOCRAT,0.0%,0,iowa,county
 Other,Jefferson County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Jefferson County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Jefferson County,REPUBLICAN,31.7%,270,iowa,county
 D. Trump,Jefferson County,REPUBLICAN,26.2%,223,iowa,county
 M. Rubio,Jefferson County,REPUBLICAN,12.2%,104,iowa,county
 R. Paul,Jefferson County,REPUBLICAN,7.9%,67,iowa,county
 B. Carson,Jefferson County,REPUBLICAN,6.5%,55,iowa,county
 M. Huckabee,Jefferson County,REPUBLICAN,6.0%,51,iowa,county
 J. Kasich,Jefferson County,REPUBLICAN,2.9%,25,iowa,county
 R. Santorum,Jefferson County,REPUBLICAN,2.1%,18,iowa,county
 J. Bush,Jefferson County,REPUBLICAN,2.0%,17,iowa,county
 C. Fiorina,Jefferson County,REPUBLICAN,1.3%,11,iowa,county
 C. Christie,Jefferson County,REPUBLICAN,0.8%,7,iowa,county
 Other,Jefferson County,REPUBLICAN,0.5%,4,iowa,county
 J. Gilmore,Jefferson County,REPUBLICAN,0.0%,0,iowa,county
 B. Sanders,Johnson County,DEMOCRAT,59.5%,"5,473",iowa,county
 H. Clinton,Johnson County,DEMOCRAT,40.2%,"3,700",iowa,county
 M. O'Malley,Johnson County,DEMOCRAT,0.3%,26,iowa,county
 Other,Johnson County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Johnson County,DEMOCRAT,0.0%,0,iowa,county
 M. Rubio,Johnson County,REPUBLICAN,30.5%,"2,207",iowa,county
 T. Cruz,Johnson County,REPUBLICAN,19.6%,"1,413",iowa,county
 D. Trump,Johnson County,REPUBLICAN,19.3%,"1,394",iowa,county
 R. Paul,Johnson County,REPUBLICAN,9.6%,691,iowa,county
 B. Carson,Johnson County,REPUBLICAN,7.3%,531,iowa,county
 J. Kasich,Johnson County,REPUBLICAN,3.9%,284,iowa,county
 J. Bush,Johnson County,REPUBLICAN,3.2%,229,iowa,county
 C. Fiorina,Johnson County,REPUBLICAN,2.6%,191,iowa,county
 C. Christie,Johnson County,REPUBLICAN,2.4%,171,iowa,county
 M. Huckabee,Johnson County,REPUBLICAN,1.0%,75,iowa,county
 R. Santorum,Johnson County,REPUBLICAN,0.5%,37,iowa,county
 Other,Johnson County,REPUBLICAN,0.0%,3,iowa,county
 J. Gilmore,Johnson County,REPUBLICAN,0.0%,1,iowa,county
 B. Sanders,Jones County,DEMOCRAT,53.4%,480,iowa,county
 H. Clinton,Jones County,DEMOCRAT,46.6%,419,iowa,county
 M. O'Malley,Jones County,DEMOCRAT,0.0%,0,iowa,county
 Other,Jones County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Jones County,DEMOCRAT,0.0%,0,iowa,county
 T. Cruz,Jones County,REPUBLICAN,35.1%,363,iowa,county
 D. Trump,Jones County,REPUBLICAN,25.0%,258,iowa,county
 M. Rubio,Jones County,REPUBLICAN,16.2%,167,iowa,county
 B. Carson,Jones County,REPUBLICAN,10.3%,107,iowa,county
 C. Fiorina,Jones County,REPUBLICAN,3.4%,35,iowa,county
 R. Paul,Jones County,REPUBLICAN,3.1%,32,iowa,county
 J. Bush,Jones County,REPUBLICAN,2.4%,25,iowa,county
 R. Santorum,Jones County,REPUBLICAN,2.0%,21,iowa,county
 C. Christie,Jones County,REPUBLICAN,1.4%,14,iowa,county
 M. Huckabee,Jones County,REPUBLICAN,0.6%,6,iowa,county
 J. Kasich,Jones County,REPUBLICAN,0.6%,6,iowa,county
 J. Gilmore,Jones County,REPUBLICAN,0.0%,0,iowa,county
 Other,Jones County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Keokuk County,DEMOCRAT,62.5%,250,iowa,county
 B. Sanders,Keokuk County,DEMOCRAT,35.0%,140,iowa,county
 M. O'Malley,Keokuk County,DEMOCRAT,2.5%,10,iowa,county
 Other,Keokuk County,DEMOCRAT,0.0%,0,iowa,county
 Uncommitted,Keokuk County,DEMOCRAT,0.0%,0,iowa,county
 D. Trump,Keokuk County,REPUBLICAN,31.3%,220,iowa,county
 T. Cruz,Keokuk County,REPUBLICAN,30.8%,216,iowa,county
 M. Rubio,Keokuk County,REPUBLICAN,16.5%,116,iowa,county
 B. Carson,Keokuk County,REPUBLICAN,9.0%,63,iowa,county
 M. Huckabee,Keokuk County,REPUBLICAN,3.3%,23,iowa,county
 R. Paul,Keokuk County,REPUBLICAN,2.7%,19,iowa,county
 J. Bush,Keokuk County,REPUBLICAN,1.9%,13,iowa,county
 C. Fiorina,Keokuk County,REPUBLICAN,1.6%,11,iowa,county
 R. Santorum,Keokuk County,REPUBLICAN,1.4%,10,iowa,county
 J. Kasich,Keokuk County,REPUBLICAN,0.7%,5,iowa,county
 C. Christie,Keokuk County,REPUBLICAN,0.6%,4,iowa,county
 Other,Keokuk County,REPUBLICAN,0.3%,2,iowa,county
 J. Gilmore,Keokuk County,REPUBLICAN,0.0%,0,iowa,county
 H. Clinton,Kossuth County,DEMOCRAT,60.8%,360,iowa,county
 B. Sanders,Kossuth County,DEMOCRAT,36.0%,213,iowa,county
 M. O'Malley,Kossuth County,DEMOCRAT,2.2%,13,iowa,county
 Uncommitted,Kossuth County,DEMOCRAT,1.0%,6,iowa,county
 Other,Kossuth County,DEMOCRAT,0.0%,0,iowa,county
